Date,평화산업,평화홀딩스,대영포장,한솔홈데코
2025-04-21,1500,10130,1735,860
2025-04-22,1443,9120,1636,836
2025-04-23,1360,8400,1611,816
2025-04-24,1315,8120,1523,806
2025-04-25,1215,6970,1444,777
2025-04-28,1180,6590,1386,756
2025-04-29,1220,5740,1391,755
2025-04-30,1171,5500,1361,736
2025-05-02,1061,4510,1184,721
2025-05-07,1243,5860,1335,732
2025-05-08,1476,7610,1416,739
2025-05-09,1604,8900,1452,724
2025-05-12,2085,11570,1887,941
2025-05-13,1973,13070,1679,839
2025-05-14,1800,11250,1653,816
2025-05-15,1587,8490,1518,775
2025-05-16,1461,8300,1390,744
2025-05-19,1310,7000,1282,725
2025-05-20,1686,9100,1523,777
2025-05-21,1652,9810,1453,756
2025-05-22,1556,9200,1372,741
2025-05-23,1680,10350,1416,734
2025-05-26,1578,9970,1366,722
2025-05-27,1458,8940,1292,725
2025-05-28,1340,7690,1252,720
2025-05-29,1302,6570,1213,722
