Date,현대엘리베이터,한창,현대상선,에머슨퍼시픽,신원
2007-10-04,,,,,
2007-10-05,-4.950503739578471,0.5524854722567918,2.5987442908381286,2.1428571428571352,0.7407265231274662
2007-10-06,-4.950503739578471,0.5524854722567918,2.5987442908381286,2.1428571428571352,0.7407265231274662
2007-10-07,-4.950503739578471,0.5524854722567918,2.5987442908381286,2.1428571428571352,0.7407265231274662
2007-10-08,-4.950503739578471,-1.6574564167703865,2.9105947264698173,4.999999999999982,-1.4814898394394427
2007-10-09,-4.620475685742587,-1.1049709445135947,-0.8316034965409558,0.7142857142856895,-0.7407510519171434
2007-10-10,-1.650167913192846,-0.5524930911697479,6.860688570188778,-14.285714285714302,4.074072529668804
2007-10-11,-0.33002805383589573,-0.5524930911697479,9.77130431036688,-15.714285714285737,4.444420460738985
2007-10-12,-2.6402658967071946,-1.1102230246251565e-14,5.405391206953869,-13.571428571428601,8.888877714662469
2007-10-13,-2.6402658967071946,-1.1102230246251565e-14,5.405391206953869,-13.571428571428601,8.888877714662469
2007-10-14,-2.6402658967071946,-1.1102230246251565e-14,5.405391206953869,-13.571428571428601,8.888877714662469
2007-10-15,0.9900841615076539,1.1049785634265064,6.652792949480624,-12.85714285714289,3.703700069808935
2007-10-16,0.9900841615076539,7.734811849420997,10.602914811477305,-16.42857142857146,-3.7037245985986122
2007-10-17,-3.6303915242349327,13.812152044245728,8.9396938092565,-16.42857142857146,2.220446049250313e-14
2007-10-18,-6.6006440087579055,7.734811849420997,5.197495586245715,-14.64285714285718,1.4814775750446207
2007-10-19,-9.570951781307668,4.419891396967279,-2.0790122436371017,-15.000000000000036,1.2962913451146862
2007-10-20,-9.570951781307668,4.419891396967279,-2.0790122436371017,-15.000000000000036,1.2962913451146862
2007-10-21,-9.570951781307668,4.419891396967279,-2.0790122436371017,-15.000000000000036,1.2962913451146862
2007-10-22,-13.531357537371779,-1.1102230246251565e-14,-7.796260890792073,-7.142857142857196,-2.222228626961742
2007-10-23,-9.570951781307668,-0.5524930911697479,-6.54885914826534,-6.428571428571484,1.6666638049745552
