Date,NE능률,덕성,삼부토건,신원종합개발,안랩
2021-10-26,17300,17200,2210,8730,80000
2021-10-27,17350,17150,2155,8740,81300
2021-10-28,17450,18000,2125,8770,81000
2021-10-29,18250,20000,2080,9370,82000
2021-11-01,19550,23500,2085,9530,71300
2021-11-02,18800,23500,2090,9060,71700
2021-11-03,18450,24250,2060,9050,69700
2021-11-04,17450,23250,2040,9240,70200
2021-11-05,18800,23600,2010,9320,73600
2021-11-08,16500,19650,2000,12100,74700
2021-11-09,15350,18650,1970,13900,74700
2021-11-10,14350,18050,1895,13900,73500
2021-11-11,13850,17400,1810,13450,71700
2021-11-12,14400,17850,1855,14300,71400
2021-11-15,14900,18150,1895,15500,73600
