Date,형지I&C,코나아이,상지건설,오리엔트바이오,포바이포
2021-09-30,,,,,
2021-10-01,-4.932735426008971,-4.1666666666666625,-3.125187811767538,2.8368794326241176,
2021-10-02,-4.932735426008971,-4.1666666666666625,-3.125187811767538,2.8368794326241176,
2021-10-03,-4.932735426008971,-4.1666666666666625,-3.125187811767538,2.8368794326241176,
2021-10-04,-4.932735426008971,-4.1666666666666625,-3.125187811767538,2.8368794326241176,
2021-10-05,-10.555363918592619,0.6666666666666821,-5.31281928000481,-4.964539007092195,
2021-10-06,-18.31666091755778,-0.33333333333332993,-8.7505258729491,-10.283687943262409,
2021-10-07,-14.418765091410846,6.833333333333336,-10.62563856000962,-6.028368794326244,
2021-10-08,10.934805105208678,10.499999999999998,-10.000600997656106,-1.4184397163120588,
2021-10-09,10.934805105208678,10.499999999999998,-10.000600997656106,-1.4184397163120588,
2021-10-10,10.934805105208678,10.499999999999998,-10.000600997656106,-1.4184397163120588,
2021-10-11,10.934805105208678,10.499999999999998,-10.000600997656106,-1.4184397163120588,
2021-10-12,14.108313211452206,5.666666666666664,-13.438307590600395,-7.446808510638303,
2021-10-13,18.31666091755777,8.000000000000007,-13.125788809423645,-5.319148936170215,
2021-10-14,18.31666091755777,7.833333333333337,-12.813270028246881,-5.673758865248235,
2021-10-15,14.798206278026903,11.666666666666693,-16.876014183544687,-6.737588652482273,
2021-10-16,14.798206278026903,11.666666666666693,-16.876014183544687,-6.737588652482273,
2021-10-17,14.798206278026903,11.666666666666693,-16.876014183544687,-6.737588652482273,
2021-10-18,15.522593997930322,11.33333333333335,-18.126089308251693,-8.865248226950351,
2021-10-19,21.524663677130064,12.00000000000001,-18.438608089428442,-8.156028368794333,
2021-10-20,22.525008623663357,11.00000000000001,-19.68868321413546,-8.865248226950351,
