Date,형지I&C,코나아이,상지건설,오리엔트바이오,thema5
2022-01-28,2522,28000,40401,1180,
2022-02-03,2582,28650,39621,1220,
2022-02-04,2531,28850,40869,1165,
2022-02-07,2490,28000,40557,1140,
2022-02-08,2430,27050,40713,1125,
2022-02-09,2471,28250,40245,1125,
2022-02-10,2450,27700,41181,1115,
2022-02-11,2419,27100,40557,1100,
2022-02-14,2276,27500,38217,1055,
2022-02-15,2246,27150,36033,1045,
2022-02-16,2348,25450,38061,1085,
2022-02-17,2328,25100,36813,1060,
2022-02-18,2430,25150,37281,1065,
2022-02-21,2522,24850,36345,1075,
2022-02-22,2399,24200,32290,1050,
2022-02-23,2399,25550,28951,1050,
2022-02-24,2265,24700,32446,1015,
2022-02-25,2348,25500,32446,1035,
2022-02-28,2430,26750,33070,1050,
2022-03-02,2430,27500,31978,1060,
2022-03-03,2460,25800,32914,1010,
2022-03-04,2531,25200,34629,998,
2022-03-07,2736,26700,32446,1015,
2022-03-08,2868,25400,34629,970,
2022-03-10,2481,21600,32914,879,
2022-03-11,2368,20950,33538,880,
2022-03-14,2256,20300,33382,900,
2022-03-15,2133,20100,32602,874,
2022-03-16,2072,20800,34785,921,
2022-03-17,2041,21350,33694,922,
2022-03-18,2092,21350,33070,921,
2022-03-21,2062,21550,32290,921,
2022-03-22,2103,21500,31510,925,
2022-03-23,2286,22200,30137,939,
2022-03-24,2265,21750,31822,936,
2022-03-25,2450,22150,31354,925,
2022-03-28,2368,21650,30667,905,
2022-03-29,2286,22050,29263,916,
2022-03-30,2297,22550,28858,918,
2022-03-31,2286,25300,29139,925,
2022-04-01,2225,25600,29763,928,
2022-04-04,2348,26000,32290,939,
2022-04-05,2328,26250,34317,936,
2022-04-06,2297,25550,34005,933,
2022-04-07,2286,25600,35409,923,
2022-04-08,2236,26150,34629,914,
2022-04-11,2225,25950,32758,910,
2022-04-12,2214,26050,34317,909,
2022-04-13,2205,26400,33538,916,
2022-04-14,2174,25650,31666,901,
2022-04-15,2214,23950,34785,910,
2022-04-18,2225,23250,36189,902,
