Date,NE능률,덕성,삼부토건,신원종합개발,안랩,KODEX200
2021-06-09,27750,27700,2900,7630,69100,39316
2021-06-10,25500,24750,2860,7280,70800,39448
2021-06-11,25600,25350,2860,7210,70600,39738
2021-06-14,26300,27400,2840,7150,70300,39722
2021-06-15,25400,26550,3015,7090,71300,39811
2021-06-16,25300,26600,2995,7330,72600,40055
2021-06-17,25300,26000,3000,8290,71500,39825
2021-06-18,26200,26750,2935,8330,71900,39944
2021-06-21,23800,24800,2925,7770,70700,39559
2021-06-22,23000,24600,2865,7830,70700,39830
2021-06-23,22400,25000,2775,7570,70600,40038
2021-06-24,26500,27200,2785,7870,70600,40188
2021-06-25,26150,26800,2775,7680,70700,40392
2021-06-28,26700,26900,2950,7850,69300,40351
2021-06-29,23500,24300,2930,7560,71400,40193
2021-06-30,22400,22950,3145,7630,71800,40336
2021-07-01,20700,21200,3000,7460,72600,40102
2021-07-02,19450,19850,3080,7600,72300,40051
2021-07-05,19000,19700,3200,7610,70800,40238
2021-07-06,20800,20600,3310,8040,71600,40424
2021-07-07,19950,19800,3255,7800,71200,40170
2021-07-08,19100,18600,3155,7640,69500,39752
2021-07-09,19150,18700,3305,7870,68600,39331
2021-07-12,18900,18300,3865,7910,69600,39685
2021-07-13,19350,18300,4020,7670,70200,40018
2021-07-14,18150,17150,3865,7570,69500,39881
2021-07-15,17900,16850,3840,7670,69500,40151
2021-07-16,17500,16400,3720,7510,68600,39982
2021-07-19,17550,16100,3425,7150,66900,39530
2021-07-20,17250,16700,3525,7000,67000,39403
2021-07-21,16200,15550,3755,6790,67500,39199
2021-07-22,16350,15500,3630,6690,68000,39689
2021-07-23,16200,15700,3720,6800,68300,39762
2021-07-26,19550,18450,3715,6780,67200,39335
2021-07-27,20100,21100,3625,7030,68100,39399
2021-07-28,20150,21000,3680,6990,67700,39516
2021-07-29,20200,21200,3625,7000,68000,39574
2021-07-30,19750,22900,3460,7060,67700,39092
2021-08-02,19400,21650,3320,7050,69300,39274
2021-08-03,18300,19700,3370,6860,69200,39620
2021-08-04,18600,20550,3415,6940,69600,40176
2021-08-05,18550,20200,3390,6890,69500,40103
2021-08-06,17700,19100,3290,6730,68900,39914
2021-08-09,17200,17700,3185,6470,69500,39729
2021-08-10,16600,17750,3220,6350,69200,39471
2021-08-11,16600,18000,3135,6190,69100,39117
2021-08-12,16250,17800,3100,6110,69400,38958
2021-08-13,16050,18100,2990,6140,68900,38304
2021-08-17,15600,17250,2830,5760,66600,37870
2021-08-18,15750,17450,2860,6020,66800,38059
2021-08-19,14450,16600,2675,5710,65300,37300
2021-08-20,14000,16000,2605,5460,62400,36938
2021-08-23,14650,16750,2650,5530,63600,37267
2021-08-24,15250,18250,2715,5920,65400,37979
2021-08-25,15350,18400,2725,6010,64900,38096
2021-08-26,14850,17700,2690,5850,64600,37812
2021-08-27,15050,18100,2710,5940,65500,37787
2021-08-30,14800,17600,2975,7720,66300,37880
2021-08-31,14350,17050,2980,8500,67400,38629
2021-09-01,15000,17250,3230,8500,68500,38686
2021-09-02,15050,17000,3110,8150,67200,38331
2021-09-03,13950,16100,3280,8420,68900,38580
2021-09-06,13750,16200,2860,7430,68200,38712
2021-09-07,13800,16500,2815,7510,68100,38480
2021-09-08,14150,16500,2730,7550,67900,38145
2021-09-09,15200,17050,2700,8220,67500,37471
2021-09-10,14550,16100,2700,8200,68300,37646
2021-09-13,15750,16350,2905,7530,70000,37727
2021-09-14,15950,16800,2870,7610,69400,37970
2021-09-15,15650,16300,2830,7410,68800,38023
2021-09-16,15850,16100,2885,7500,69800,37691
2021-09-17,16300,17500,3015,8310,70400,37787
2021-09-23,16300,17850,3140,8620,69500,37727
2021-09-24,15200,17150,2990,8640,70300,37691
2021-09-27,15050,16800,2495,10050,71500,37816
2021-09-28,14500,16250,2365,10000,68900,37324
2021-09-29,13600,15750,2275,9450,68400,36830
2021-09-30,13400,15900,2270,8900,69500,36983
2021-10-01,13150,16000,2360,9220,70000,36293
2021-10-05,12600,15350,2065,8830,68200,35755
2021-10-06,11500,14150,2020,8600,67000,35202
2021-10-07,12150,14650,2080,8820,68100,35791
2021-10-08,15050,16550,2000,8320,70900,35713
2021-10-12,15250,16350,2260,7810,70800,35102
2021-10-13,15050,16100,2110,8090,73200,35455
2021-10-14,15550,16600,2130,8380,74000,35901
2021-10-15,15950,16750,2155,8390,74100,36270
2021-10-18,16400,16900,2270,8440,73700,36155
2021-10-19,16500,16900,2250,8220,73900,36460
2021-10-20,15400,16000,2175,8130,76100,36298
2021-10-21,16100,16300,2135,8050,75900,36234
2021-10-22,15650,16000,2105,8020,78200,36265
2021-10-25,16900,16950,2175,8650,80300,36455
2021-10-26,17300,17200,2210,8730,80000,36792
2021-10-27,17350,17150,2155,8740,81300,36485
2021-10-28,17450,18000,2125,8770,81000,36383
2021-10-29,18250,20000,2080,9370,82000,35799
2021-11-01,19550,23500,2085,9530,71300,35948
2021-11-02,18800,23500,2090,9060,71700,36426
2021-11-03,18450,24250,2060,9050,69700,35910
2021-11-04,17450,23250,2040,9240,70200,36111
2021-11-05,18800,23600,2010,9320,73600,35957
2021-11-08,16500,19650,2000,12100,74700,35910
2021-11-09,15350,18650,1970,13900,74700,36000
2021-11-10,14350,18050,1895,13900,73500,35619
2021-11-11,13850,17400,1810,13450,71700,35614
2021-11-12,14400,17850,1855,14300,71400,35991
2021-11-15,14900,18150,1895,15500,73600,36407
2021-11-16,14850,17850,1905,17150,73700,36343
2021-11-17,14000,16900,2105,17400,74200,35887
2021-11-18,14000,16900,2335,17400,75000,35739
2021-11-19,13900,17000,2505,18600,74500,36000
2021-11-22,13750,17050,2500,16600,72600,36836
2021-11-23,13000,16200,2490,18400,71300,36513
2021-11-24,13400,16550,2390,18350,70900,36441
2021-11-25,13300,16550,2305,17600,70100,36171
2021-11-26,12750,15950,2265,18000,67800,35507
2021-11-29,12650,16100,2150,16800,66300,35227
2021-11-30,11650,14600,1990,14350,65600,34512
2021-12-01,11900,14700,2020,14050,66000,35342
2021-12-02,12350,15450,2045,13100,67000,35900
2021-12-03,12650,16150,2190,14150,68200,36171
2021-12-06,13200,17350,2195,15100,67200,36240
2021-12-07,13000,16750,2180,17150,67200,36540
2021-12-08,12700,16300,2155,17150,67700,36702
2021-12-09,13050,16750,2235,17500,67800,36811
2021-12-10,13300,16850,2255,17700,67700,36611
2021-12-13,12900,16450,2225,17600,67800,36638
2021-12-14,12450,16050,2125,15350,67800,36431
2021-12-15,12250,15700,2085,15050,68300,36441
2021-12-16,12650,15650,2100,16000,68100,36652
2021-12-17,12300,15450,2110,16050,69000,36743
2021-12-20,11800,15050,2030,14000,69800,36065
2021-12-21,11500,15050,1995,13850,69500,36343
2021-12-22,11850,15200,2035,14000,71800,36536
2021-12-23,11550,14800,2000,12750,72900,36715
2021-12-24,11650,14800,2035,12650,76000,36989
2021-12-27,11550,14900,2190,11750,80200,36773
2021-12-28,11350,14750,2080,11550,80200,37072
2021-12-29,11650,15200,2200,12650,81400,36989
2021-12-30,11400,15100,2325,11750,98900,36763
2022-01-03,11500,15500,2445,12350,100100,36851
2022-01-04,11900,15500,2465,12650,106400,36826
2022-01-05,11250,14450,2435,10800,120500,36302
2022-01-06,12300,14750,2310,10900,118800,35938
2022-01-07,13700,15600,2365,12050,119300,36388
2022-01-10,16050,16550,2450,12050,114500,36111
2022-01-11,15300,16550,2355,12500,104700,36219
2022-01-12,15100,16800,2320,12000,103500,36811
2022-01-13,13650,15650,2290,11250,106700,36624
2022-01-14,13550,15450,2260,10950,104400,36056
2022-01-17,15050,16600,2055,12150,89300,35794
2022-01-18,13900,15650,2055,11400,86200,35517
2022-01-19,13700,15450,1750,11150,84800,35258
2022-01-20,13600,15600,1735,11200,85500,35466
2022-01-21,13500,15500,1695,11300,85700,35065
2022-01-24,14200,15600,1570,10500,81900,34668
2022-01-25,15000,15500,1490,9450,79800,33824
2022-01-26,14000,15350,1650,9460,77000,33721
2022-01-27,12300,14400,1510,9170,75200,32605
2022-01-28,12600,15000,1540,9270,76500,33480
2022-02-03,12950,15250,1615,9140,76400,33803
2022-02-04,13250,15750,1630,9200,71100,34248
2022-02-07,13550,15750,1725,9000,79100,33895
2022-02-08,13800,15800,2240,9800,73100,33960
2022-02-09,14000,15850,2465,9780,75200,34430
2022-02-10,13200,15150,2295,9380,74200,34717
2022-02-11,13600,15300,2150,9290,72800,34393
2022-02-14,13850,15150,2085,8620,70000,33933
