Date,바른손,에이엔피,디오,국보디자인,신일산업,우리들제약,화인베스틸,대한제강,조광페인트,유성티엔에스
2017-03-30,11000,15331,29000,15500,2060,26550,2830,10750,11400,5740
2017-03-31,10700,15331,32100,15450,2150,27300,2855,11250,11550,5760
2017-04-03,10200,16076,32100,16050,2280,25650,2810,11050,11650,5590
2017-04-04,7210,13966,33700,15900,2280,18650,2590,10700,11400,5030
2017-04-05,8150,14431,33800,15900,2385,21250,2635,10700,11300,4980
2017-04-06,7880,13314,34000,15850,2380,20000,2570,10800,11200,4750
2017-04-07,8010,12755,33550,15750,2380,20200,2565,10750,11100,4770
2017-04-10,7580,11514,33000,15400,2230,17900,2400,10250,10850,4455
2017-04-11,7230,10924,32850,15350,2180,17050,2420,10400,10950,4405
2017-04-12,6940,10924,33500,15250,2080,17100,2440,10300,11000,4735
2017-04-13,6320,10862,33600,15150,2085,16450,2420,10300,11000,4755
2017-04-14,6830,11110,32950,15000,2060,17900,2390,10150,10950,4670
2017-04-17,8100,11669,34250,15200,2070,20150,2460,10300,11150,4750
2017-04-18,8400,11359,35300,15100,2045,19900,2485,10550,11200,4755
2017-04-19,8560,11421,36950,15200,2065,21200,2480,10200,11100,4805
2017-04-20,8300,11172,36600,15150,2060,20500,2470,10250,11000,4725
2017-04-21,7790,10707,37700,15150,2065,19750,2480,10050,11000,4600
2017-04-24,7700,9962,36850,15150,2035,18650,2435,10100,10900,4660
2017-04-25,7730,10273,36100,15200,2045,18900,2410,10150,11000,4750
2017-04-26,7360,10149,36250,15300,2065,17450,2465,10100,11000,4745
2017-04-27,7150,10397,36450,15250,2075,17550,2475,10000,11050,4780
2017-04-28,6750,10365,35200,15150,2085,16300,2485,10150,11100,4775
2017-05-02,5730,9620,34600,15150,2075,13600,2435,10200,10950,4485
2017-05-04,6200,10024,36000,15250,2055,14550,2450,10250,10850,4530
2017-05-08,6170,10117,37100,15300,2020,15400,2480,10150,11000,4535
2017-05-10,4830,9310,36400,15350,1985,12200,2480,10350,10900,4360
2017-05-11,4450,9217,36450,15250,1930,11500,2480,10350,11000,4330
2017-05-12,4220,9031,35850,15100,1915,11450,2520,10350,10700,4320
2017-05-15,3970,8875,35350,15100,1925,10700,2520,10150,10550,4180
2017-05-16,4055,8689,34700,15550,1935,10350,2485,9970,10450,4190
2017-05-17,3905,8813,34200,15850,1930,10050,2495,9780,10250,4050
2017-05-18,3985,8659,32900,15500,1955,9600,2435,9850,10100,3960
2017-05-19,4000,8751,34900,15700,1980,9950,2470,9850,10100,4085
2017-05-22,3915,8783,34250,16200,1970,9710,2470,10000,10300,4150
2017-05-23,3915,8783,33900,18050,1950,9940,2510,10350,10600,4140
2017-05-24,3925,8689,34650,17750,1960,9730,2505,10400,10650,4135
2017-05-25,3815,8659,34900,17750,1960,9900,2540,10250,10700,4100
2017-05-26,3840,8689,34700,17800,1970,9930,2520,10200,10550,4020
2017-05-29,3855,8689,35250,17750,1965,9740,2460,10450,10600,3990
2017-05-30,3855,8597,36300,17300,1950,9810,2490,10750,10550,4230
2017-05-31,3850,8659,36350,17200,1945,9850,2475,10700,10450,4175
2017-06-01,3880,8751,36700,17400,1930,9780,2485,10550,10550,4215
2017-06-02,3930,8721,36250,17500,1930,9760,2485,10650,10550,4295
2017-06-05,3825,8628,36600,17400,1925,9680,2495,10550,10350,4275
2017-06-07,3825,8566,36400,17800,1920,9550,2470,10850,10350,4340
2017-06-08,3820,8597,36200,18150,1920,9530,2435,11000,10300,4290
2017-06-09,3850,8813,36200,18000,1900,9570,2425,11000,10200,4190
2017-06-12,3825,8783,35150,17900,1900,9420,2395,10900,10200,4180
2017-06-13,3820,8751,34600,17950,1920,9390,2410,11500,10450,4195
2017-06-14,3790,8845,33700,17850,1915,9180,2490,11450,10350,4195
2017-06-15,3735,8659,34000,17650,1920,8890,2465,11400,10300,4100
2017-06-16,3800,8597,34150,17650,1940,8940,2465,11500,10300,4110
